지자체,지역구,지점명,도로명,발생건수,사망자수,보 기,MOTOCY_CNT,CYCLE_CNT,WALK_CNT,DRK
서울,강북구,한신대교차로,,6,0,,1,0,0,0
서울,강서구,서울양동초 삼거리(서쪽),,12,2,,0,0,0,0
서울,강서구,마곡역 부근 사거리(1번출구),,10,0,,0,0,0,0
서울,강서구,화곡사거리(까치산역 3번출구),,14,1,,2,0,0,0
서울,강서구,강서구청입구(경복여고 남동),,11,0,,0,1,0,0
서울,강서구,서울신월초 삼거리(북쪽),,8,0,,1,0,0,0
서울,강서구,화곡사거리(까치산역 3번출구),,15,0,,2,0,0,1
서울,강서구,양천향교역 앞 사거리,,7,0,,0,0,0,0
서울,강서구,마곡엠밸리10단지 앞 공항대로 상,,6,0,,3,0,0,0
서울,강서구,가양역사거리(5번출구),,9,0,,0,0,0,0
서울,강서구,발산역 부근 (8번출구 서쪽),,4,1,,0,1,0,0
서울,강서구,화곡역 앞 사거리,,11,0,,0,0,0,0
서울,강서구,강서그랜드아이파크 앞 사거리,,7,0,,1,0,0,1
서울,강서구,김포공항입구 사거리(북동),,11,0,,0,1,0,0
서울,강서구,가양아파트사거리(601동 서쪽),,7,0,,0,0,0,0
서울,강서구,개화사거리(서울개화초 남서),,6,0,,0,0,0,0
서울,강서구,청성아파트 부근 삼거리(남쪽),,5,1,,0,0,0,0
서울,강서구,양화교 서단 사거리,,7,0,,0,1,0,0
서울,강서구,화곡4동우체국 부근(서쪽),,6,0,,0,0,0,1
서울,강서구,신방화사거리(강서공고),,3,1,,1,0,0,0
서울,강서구,화곡4동우체국 사거리(동쪽),,5,0,,0,0,0,0
서울,강서구,현대그린아파트 사거리(서쪽),,8,0,,1,0,0,0
서울,강서구,신방화사거리(강서공고),,5,1,,0,2,0,0
서울,강서구,화곡동 111-69번지 삼거리,,7,0,,0,0,0,0
서울,강서구,가양3-5단지(가양역1번출구),,5,0,,0,1,0,0
서울,강서구,강서면허시험장 교차로,,4,1,,0,0,0,0
서울,강서구,명덕고교입구 사거리(남동),,5,0,,2,0,0,0
서울,강서구,공항고 사거리(남쪽),,5,0,,1,0,0,1
서울,강서구,화원중 사거리(북서),,6,1,,1,1,0,1
서울,강서구,화곡사거리(까치산역 3번출구),,4,0,,0,0,0,0
서울,강서구,마곡동775-3,,3,0,,0,0,0,0
서울,관악구,현대시장입구교차로,,10,0,,0,0,0,0
서울,관악구,봉림교 서단 교차로,,14,1,,2,1,0,0
서울,관악구,구로교 남단 사거리,,17,0,,0,1,0,0
서울,관악구,신림역사거리,,18,0,,0,2,0,0
서울,관악구,미림여고입구(신성초 부근),,13,0,,1,0,0,0
서울,관악구,서울시립미술관 사거리(북서),,12,0,,0,1,0,0
서울,관악구,난곡사거리(국민건강사회공단),,11,0,,1,0,0,0
